Relatório de palavras-chave da rede de pesquisa
9 de agosto de 2026 - 12 de agosto de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,Código da moeda,CPC máx.,URL final,Impr.,Interações,Taxa de interação,Custo médio,Custo,Taxa de conv.,Valor conv.,Valor conv. / custo,Conversões,Custo / conv.,Valor original da conv.
Pausado,[aromatizador de ambientes automatico],Correspondência exata,[REMIND] [SEARCH] Campanha para ecommerce,Grupo de anúncios 1,Pausado,pausado; baixa qualidade; campanha pausada,BRL,"5,00",,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
Ativado,[aromatizador profissional],Correspondência exata,[REMIND] [SEARCH] Campanha para ecommerce,Grupo de anúncios 1,Não qualificado,baixa qualidade; campanha pausada,BRL,"5,00",,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
Ativado,[aromatizador de ambiente eletrico profissional],Correspondência exata,[REMIND] [SEARCH] Campanha para ecommerce,Grupo de anúncios 1,Não qualificado,campanha pausada,BRL,"5,00",,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
Pausado,"""máquina de aromatização profissional""",Correspondência de frase,[REMIND] [SEARCH] Campanha para ecommerce,Grupo de anúncios 1,Pausado,pausado; baixa qualidade; campanha pausada,BRL,"5,00",,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
Pausado,"""maquina de aromatizar ambiente""",Correspondência de frase,[REMIND] [SEARCH] Campanha para ecommerce,Grupo de anúncios 1,Pausado,pausado; baixa qualidade; campanha pausada,BRL,"5,00",,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
Ativado,[olyra marketing olfativo],Correspondência exata,[REMIND] [SEARCH] Campanha para ecommerce,Grupo de anúncios 1,Não qualificado,baixa qualidade; campanha pausada,BRL,"5,00",,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
Pausado,"""maquina para aromatizar ambiente""",Correspondência de frase,[REMIND] [SEARCH] Campanha para ecommerce,Grupo de anúncios 1,Pausado,pausado; campanha pausada,BRL,"5,00",,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
Pausado,"""Máquina para marketing olfativo""",Correspondência de frase,[REMIND] [SEARCH] Campanha para ecommerce,Grupo de anúncios 1,Pausado,pausado; raramente exibido; campanha pausada,BRL,"5,00",,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
Ativado,[maquina de aromatizar ambiente],Correspondência exata,[REMIND] [SEARCH] Campanha para ecommerce,Grupo de anúncios 1,Não qualificado,baixa qualidade; campanha pausada,BRL,"5,00",,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
 --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,BRL, --,,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
,,Total: Palavras-chave na sua conta,,,,,BRL,,,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
,,Total: Suas palavras-chave,,,,,BRL,,,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00",0
,,Total: Correspondências expandidas da AI Max,,,,,BRL,,,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00",0
,,Total: Correspondências de páginas de destino da AI Max,,,,,BRL,,,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
,,Total: Inclusões de URL na sua conta,,,,,BRL,,,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
,,Total: Conta,,,,,BRL,,,8.472,617,"7,28%","1,64","1013,25","0,49%","2.129,80","2,10","3,00","337,75","2.129,80"
,,Total: Pesquisa,,,,,BRL,,,0,0, --,0,"0,00","0,00%","0,00","0,00","0,00","0,00","0,00"
,,Total: Performance Max,,,,,BRL,,,8.472,617,"7,28%","1,64","1013,25","0,49%","2.129,80","2,10","3,00","337,75","2.129,80"
